Datum,Uhrzeit,ADC,Rs_Ohm,PPM_CO2
2026-03-26,09:49:38,58,6655.2,443.73
2026-03-26,09:49:40,57,6778.9,421.66
2026-03-26,09:49:42,57,6778.9,421.66
2026-03-26,09:49:44,58,6655.2,443.73
2026-03-26,09:49:46,57,6778.9,421.66
2026-03-26,09:49:48,57,6778.9,421.66
2026-03-26,09:49:50,58,6655.2,443.73
2026-03-26,09:49:52,58,6655.2,443.73
2026-03-26,09:49:54,58,6655.2,443.73
2026-03-26,09:49:56,57,6778.9,421.66
2026-03-26,09:49:58,57,6778.9,421.66
2026-03-26,09:50:00,58,6655.2,443.73
2026-03-26,09:50:02,58,6655.2,443.73
2026-03-26,09:50:04,58,6655.2,443.73
2026-03-26,09:50:06,57,6778.9,421.66
2026-03-26,09:50:08,58,6655.2,443.73
2026-03-26,09:50:10,58,6655.2,443.73
2026-03-26,09:50:12,57,6778.9,421.66
2026-03-26,09:50:14,58,6655.2,443.73
2026-03-26,09:50:16,58,6655.2,443.73
2026-03-26,09:50:18,58,6655.2,443.73
2026-03-26,09:50:20,58,6655.2,443.73
2026-03-26,09:50:22,57,6778.9,421.66
2026-03-26,09:50:24,58,6655.2,443.73
2026-03-26,09:50:26,58,6655.2,443.73
2026-03-26,09:50:28,58,6655.2,443.73
2026-03-26,09:50:30,58,6655.2,443.73
2026-03-26,09:50:32,58,6655.2,443.73
2026-03-26,09:50:34,58,6655.2,443.73
2026-03-26,09:50:36,58,6655.2,443.73
2026-03-26,09:50:38,58,6655.2,443.73
2026-03-26,09:50:40,59,6535.6,466.58
2026-03-26,09:50:42,59,6535.6,466.58
2026-03-26,09:50:44,58,6655.2,443.73
2026-03-26,09:50:46,58,6655.2,443.73
2026-03-26,09:50:48,58,6655.2,443.73
2026-03-26,09:50:50,58,6655.2,443.73
2026-03-26,09:50:52,58,6655.2,443.73
2026-03-26,09:50:54,58,6655.2,443.73
2026-03-26,09:50:56,58,6655.2,443.73
2026-03-26,09:50:58,58,6655.2,443.73
2026-03-26,09:51:00,58,6655.2,443.73
2026-03-26,09:51:02,58,6655.2,443.73
2026-03-26,09:51:04,58,6655.2,443.73
2026-03-26,09:51:06,58,6655.2,443.73
2026-03-26,09:51:08,58,6655.2,443.73
2026-03-26,09:51:10,58,6655.2,443.73
2026-03-26,09:51:12,58,6655.2,443.73
2026-03-26,09:51:14,59,6535.6,466.58
2026-03-26,09:51:16,59,6535.6,466.58
2026-03-26,09:51:18,59,6535.6,466.58
2026-03-26,09:51:20,58,6655.2,443.73
2026-03-26,09:51:22,58,6655.2,443.73
2026-03-26,09:51:24,58,6655.2,443.73
2026-03-26,09:51:26,59,6535.6,466.58
2026-03-26,09:51:28,59,6535.6,466.58
2026-03-26,09:51:30,59,6535.6,466.58
2026-03-26,09:51:32,59,6535.6,466.58
2026-03-26,09:51:34,60,6420.0,490.22
2026-03-26,09:51:36,59,6535.6,466.58
2026-03-26,09:51:38,59,6535.6,466.58
2026-03-26,09:51:40,59,6535.6,466.58
2026-03-26,09:51:42,59,6535.6,466.58
2026-03-26,09:51:44,59,6535.6,466.58
2026-03-26,09:51:46,59,6535.6,466.58
2026-03-26,09:51:48,59,6535.6,466.58
2026-03-26,09:51:50,59,6535.6,466.58
2026-03-26,09:51:52,59,6535.6,466.58
2026-03-26,09:51:54,60,6420.0,490.22
2026-03-26,09:51:56,59,6535.6,466.58
2026-03-26,09:51:58,59,6535.6,466.58
2026-03-26,09:52:00,59,6535.6,466.58
2026-03-26,09:52:02,59,6535.6,466.58
2026-03-26,09:52:04,59,6535.6,466.58
2026-03-26,09:52:06,59,6535.6,466.58
2026-03-26,09:52:08,59,6535.6,466.58
2026-03-26,09:52:10,60,6420.0,490.22
2026-03-26,09:52:12,59,6535.6,466.58
2026-03-26,09:52:14,59,6535.6,466.58
2026-03-26,09:52:16,59,6535.6,466.58
2026-03-26,09:52:18,59,6535.6,466.58
2026-03-26,09:52:20,59,6535.6,466.58
2026-03-26,09:52:22,59,6535.6,466.58
2026-03-26,09:52:24,59,6535.6,466.58
2026-03-26,09:52:26,59,6535.6,466.58
2026-03-26,09:52:28,59,6535.6,466.58
2026-03-26,09:52:30,59,6535.6,466.58
2026-03-26,09:52:32,59,6535.6,466.58
2026-03-26,09:52:34,60,6420.0,490.22
2026-03-26,09:52:36,59,6535.6,466.58
2026-03-26,09:52:38,60,6420.0,490.22
2026-03-26,09:52:40,59,6535.6,466.58
2026-03-26,09:52:42,59,6535.6,466.58
2026-03-26,09:52:44,59,6535.6,466.58
2026-03-26,09:52:46,59,6535.6,466.58
2026-03-26,09:52:48,59,6535.6,466.58
2026-03-26,09:52:50,59,6535.6,466.58
2026-03-26,09:52:52,59,6535.6,466.58
2026-03-26,09:52:54,60,6420.0,490.22
2026-03-26,09:52:56,59,6535.6,466.58
2026-03-26,09:52:58,59,6535.6,466.58
2026-03-26,09:53:00,59,6535.6,466.58
2026-03-26,09:53:02,60,6420.0,490.22
2026-03-26,09:53:04,59,6535.6,466.58
2026-03-26,09:53:06,59,6535.6,466.58
2026-03-26,09:53:08,60,6420.0,490.22
2026-03-26,09:53:10,59,6535.6,466.58
